"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\components\dropdown-menu\DropdownMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 11, 71
"d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\components\login-form\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 10, 75
"d:\Kyle\Projects\bpit-das-v2\frontend\src\components\navbar\NavbarMinimal.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Kyle\Projects\bpit-das-v2\frontend\src\components\navbar\NavbarMinimal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"d:\Kyle\Projects\bpit-das-v2\frontend\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 8, 9, 58
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\_queryKeys.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\analyzerDataHook.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\currentValuesHook.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\serialAnalyzersHook.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\serialParametersHook.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\stationsHook.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\tcpAnalyzersHook.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\tcpParametersHook.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\timebasesHook.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\userLogsHook.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
